clean_name,name,price,address,city,category_code,city_code,business,scan_date
minolta 300si film camera bundle 35-70mm f4 70-210mm f4,Minolta 300si Film Camera Bundle | 35-70mm F4 | 70-210mm F4,150,https://toronto.craigslist.ca/tor/pho/d/minolta-300si-film-camera/6768579154.html,Toronto,pho,tor,0,2018-12-09 13:11
olympus magellan 8x25 wp binocular,Olympus Magellan 8x25 WP I Binocular,100,https://toronto.craigslist.ca/tor/pho/d/olympus-magellan-8x25-wp/6768538540.html,Toronto,pho,tor,0,2018-12-09 13:11
olympus pathfinder exps-1 8x42 porro prism binocular bnib,Olympus Pathfinder EXPS-1 8x42 Porro Prism Binocular - BNIB,275,https://toronto.craigslist.ca/tor/pho/d/olympus-pathfinder-exps-1/6768537477.html,Toronto,pho,tor,0,2018-12-09 13:11
bronica sq-a medium format 6x6,Bronica SQ-A Medium Format 6x6,700,https://toronto.craigslist.ca/tor/pho/d/bronica-sq-medium-format-6x6/6768488276.html,Toronto,pho,tor,0,2018-12-09 13:11
canon a35f 35mm film rangefinder camera,Canon A35F 35mm Film Rangefinder Camera,150,https://toronto.craigslist.ca/tor/pho/d/canon-a35f-35mm-film/6768496344.html,Toronto,pho,tor,0,2018-12-09 13:11
zenza bronica etrs 645 medium format *in box*,Zenza Bronica ETRS 645 Medium Format | *In Box*,600,https://toronto.craigslist.ca/tor/pho/d/zenza-bronica-etrs-645-medium/6768489169.html,Toronto,pho,tor,0,2018-12-09 13:11
minolta maxxum af 70-210mm f4 sony a-mount beercan,Minolta Maxxum AF 70-210mm F4 | Sony A-Mount | Beercan,100,https://toronto.craigslist.ca/tor/pho/d/minolta-maxxum-afmm-f4-sony/6768497109.html,Toronto,pho,tor,0,2018-12-09 13:11
nikon fe2 35mm film slr titanium honeycomb shutter,Nikon FE2 35mm Film SLR | Titanium Honeycomb Shutter,225,https://toronto.craigslist.ca/tor/pho/d/nikon-fe2-35mm-film-slr/6768488907.html,Toronto,pho,tor,0,2018-12-09 13:11
carl zeiss planar 50mm f1.4 contax yashica cy mount,Carl Zeiss Planar 50mm F1.4 | Contax Yashica CY Mount,400,https://toronto.craigslist.ca/tor/pho/d/carl-zeiss-planar-50mm-f14/6768492440.html,Toronto,pho,tor,0,2018-12-09 13:11
nikon fg 35mm film camera 50mm f2,Nikon FG 35mm Film Camera | 50mm F2,125,https://toronto.craigslist.ca/tor/pho/d/nikon-fg-35mm-film-camera/6764417931.html,Toronto,pho,tor,0,2018-12-09 13:11
konica big mini a4 35mm film point shoot 35mm f3.5,Konica Big Mini A4 35mm Film Point & Shoot | 35mm F3.5,125,https://toronto.craigslist.ca/tor/pho/d/konica-big-mini-a4-35mm-film/6764429628.html,Toronto,pho,tor,0,2018-12-09 13:11
smc pentax-a 645 35mm f3.5 wide angle medium format lens,SMC Pentax-A 645 35mm F3.5 Wide Angle | Medium Format Lens,425,https://toronto.craigslist.ca/tor/pho/d/smc-pentaxmm-f35-wide-angle/6762361835.html,Toronto,pho,tor,0,2018-12-09 13:11
pentax k1000 smc 50mm f2 35mm film slr pentax k-mount,Pentax K1000 | SMC 50mm F2 | 35mm Film SLR | Pentax K-Mount,125,https://toronto.craigslist.ca/tor/pho/d/pentax-k1000-smc-50mm-f2-35mm/6762372224.html,Toronto,pho,tor,0,2018-12-09 13:11
canon ef-s 55-250mm f4-5.6 is,Canon EF-S 55-250mm F4-5.6 IS,200,https://toronto.craigslist.ca/tor/pho/d/canon-efmm-f4-56-is/6762360678.html,Toronto,pho,tor,0,2018-12-09 13:11
agfa optima sensor electronic 35mm film point shoot lomo,Agfa Optima Sensor Electronic | 35mm Film Point & Shoot | Lomo,150,https://toronto.craigslist.ca/tor/pho/d/agfa-optima-sensor-electronic/6762366717.html,Toronto,pho,tor,0,2018-12-09 13:11
nikon zoom touch 470 af 35mm film point shoot,Nikon Zoom Touch 470 AF 35mm Film Point & Shoot,100,https://toronto.craigslist.ca/tor/pho/d/nikon-zoom-touch-470-af-35mm/6762369256.html,Toronto,pho,tor,0,2018-12-09 13:11
spiratone 135mm f2.8 16 aperture blades t2 screw mount,Spiratone 135mm F2.8 | 16 Aperture Blades | T2 Screw Mount,100,https://toronto.craigslist.ca/tor/pho/d/spiratone-135mm-f28-16/6762365715.html,Toronto,pho,tor,0,2018-12-09 13:11
mamiya 135 ee 35mm film fixed lens rangefinder camera,Mamiya 135 EE 35mm Film Fixed Lens Rangefinder Camera,150,https://toronto.craigslist.ca/tor/pho/d/mamiya-135-ee-35mm-film-fixed/6762361619.html,Toronto,pho,tor,0,2018-12-09 13:11
olympus trip 35 35mm film fixed lens rangefinder,Olympus Trip 35 | 35mm Film Fixed Lens Rangefinder,125,https://toronto.craigslist.ca/tor/pho/d/olympus-trip-35-35mm-film/6762363567.html,Toronto,pho,tor,0,2018-12-09 13:11
minolta hi-matic af2-m 35mm film point shoot,Minolta Hi-Matic AF2-M 35mm Film Point & Shoot,125,https://toronto.craigslist.ca/tor/pho/d/minolta-hi-matic-af2-35mm/6764472235.html,Toronto,pho,tor,0,2018-12-09 13:11
minolta x-700 35mm film camera md 50mm f2,Minolta X-700 35mm Film Camera | MD 50mm F2,200,https://toronto.craigslist.ca/tor/pho/d/minoltamm-film-camera-md-50mm/6764133776.html,Toronto,pho,tor,0,2018-12-09 13:11
minolta xg9 35mm film camera md 50mm f2,Minolta XG9 35mm Film Camera | MD 50mm F2,100,https://toronto.craigslist.ca/tor/pho/d/minolta-xg9-35mm-film-camera/6764134319.html,Toronto,pho,tor,0,2018-12-09 13:11
olympus om-d e-m10 mark ii extras,Olympus OM-D E-M10 Mark II + extras,750,https://toronto.craigslist.ca/tor/pho/d/olympus-om-e-m10-mark-ii/6768481148.html,Toronto,pho,tor,0,2018-12-09 13:11
nikon d3200 lens travel bag,Nikon D3200 With lens + travel bag,285,https://toronto.craigslist.ca/tor/pho/d/nikon-d3200-with-lens-travel/6768481056.html,Toronto,pho,tor,0,2018-12-09 13:11
picture of the old twin towers lights,Picture of the Old Twin Towers in Lights,120,https://toronto.craigslist.ca/tor/pho/d/picture-of-the-old-twin/6762095749.html,Toronto,pho,tor,0,2018-12-09 13:11
minolta maxxum camera,Minolta Maxxum 4 camera,100,https://toronto.craigslist.ca/tor/pho/d/minolta-maxxum-4-camera/6745454677.html,Toronto,pho,tor,0,2018-12-09 13:11
canon eos mark iii body canon zoom lens 24-105mm is,Canon EOS Mark III Body + Canon Zoom Lens 24-105mm IS,1500,https://toronto.craigslist.ca/tor/pho/d/canon-eos-mark-iii-body-canon/6768397938.html,Toronto,pho,tor,0,2018-12-09 13:11
