name,price,address,city,category_code,city_code,business,scan_date
Minolta 300si Film Camera Bundle | 35-70mm F4 | 70-210mm F4,150.0,https://toronto.craigslist.ca/tor/pho/d/minolta-300si-film-camera/6768579154.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Olympus Magellan 8x25 WP I Binocular,100.0,https://toronto.craigslist.ca/tor/pho/d/olympus-magellan-8x25-wp/6768538540.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Olympus Pathfinder EXPS-1 8x42 Porro Prism Binocular - BNIB,275.0,https://toronto.craigslist.ca/tor/pho/d/olympus-pathfinder-exps-1/6768537477.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Bronica SQ-A Medium Format 6x6,700.0,https://toronto.craigslist.ca/tor/pho/d/bronica-sq-medium-format-6x6/6768488276.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Canon A35F 35mm Film Rangefinder Camera,150.0,https://toronto.craigslist.ca/tor/pho/d/canon-a35f-35mm-film/6768496344.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Zenza Bronica ETRS 645 Medium Format | *In Box*,600.0,https://toronto.craigslist.ca/tor/pho/d/zenza-bronica-etrs-645-medium/6768489169.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Minolta Maxxum AF 70-210mm F4 | Sony A-Mount | Beercan,100.0,https://toronto.craigslist.ca/tor/pho/d/minolta-maxxum-afmm-f4-sony/6768497109.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Nikon FE2 35mm Film SLR | Titanium Honeycomb Shutter,225.0,https://toronto.craigslist.ca/tor/pho/d/nikon-fe2-35mm-film-slr/6768488907.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Carl Zeiss Planar 50mm F1.4 | Contax Yashica CY Mount,400.0,https://toronto.craigslist.ca/tor/pho/d/carl-zeiss-planar-50mm-f14/6768492440.html,Toronto,pho,tor,0,2018-12-09 13:11:55
Nikon FG 35mm Film Camera | 50mm F2,125.0,https://toronto.craigslist.ca/tor/pho/d/nikon-fg-35mm-film-camera/6764417931.html,Toronto,pho,tor,0,2018-12-09 13:11:55
