name,price,address,city,category_code,city_code,business,scan_date
Canon EF 70-200mm IS USM,1470.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/canon-ef-70-200mm-is-usm/1402444625,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
DJI Ronin-S IN STOCK - Equal Monthly Payment Plans and Free Shipping Available,929.0,http://www.kijiji.ca/v-camera-camcorder-lens/canada/dji-ronin-s-in-stock-equal-monthly-payment-plans-and-free-shipping-available/c1458796,Ottawa,v-camera-camcorder-lens,canada,1,2018-12-09 13:11:55
"Canon C100 Mark II Dual Pixel Camcorder, Mint 15 hours use $3800",3800.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/canon-c100-mark-ii-dual-pixel-camcorder-mint-15-hours-use-3800/1402212685,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
Canon Speedlight 430EX,100.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/canon-speedlight-430ex/1402988940,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
Profoto B1 Kit,3950.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/profoto-b1-kit/1402978868,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
DJI Ronin-S IN STOCK - Equal Monthly Payment Plans and Free Shipping Available,929.0,http://www.kijiji.ca/v-camera-camcorder-lens/canada/dji-ronin-s-in-stock-equal-monthly-payment-plans-and-free-shipping-available/c1458796,Ottawa,v-camera-camcorder-lens,canada,1,2018-12-09 13:11:55
Sony NEX-3NL Mirrorless 16MP Digital Camera 64GB battery case,220.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/sony-nex-3nl-mirrorless-16mp-digital-camera-64gb-battery-case/1402973424,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
NEW Sony 64GB Action Camera Waterproof WiFi Live View remote,230.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/new-sony-64gb-action-camera-waterproof-wifi-live-view-remote/1402973350,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
Nikon 18-55 3.5-56 G II,80.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/nikon-18-55-3-5-56-g-ii/1402971191,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
Sigma (DC) 55-200 4-5.6 telephoto lens for nikon,80.0,http://www.kijiji.ca/v-camera-camcorder-lens/ottawa/sigma-dc-55-200-4-5-6-telephoto-lens-for-nikon/1402970385,Ottawa,v-camera-camcorder-lens,ottawa,0,2018-12-09 13:11:55
