name,price,address,category,scan_date
"Polk Audio PSW10 10-Inch Powered Subwoofer (Single, Black)",99,https://www.amazon.com/dp/B0002KVQBA,Camera & Photo: Electronics,2018-12-08
Onkyo DXC390 6 Disc CD Changer,179,https://www.amazon.com/dp/B0000EZ1KK,Camera & Photo: Electronics,2018-12-08
"Audio-Technica AT2020 Cardioid Condenser Studio XLR Microphone, Black",99,https://www.amazon.com/Audio-Technica-AT2020-Cardioid-Condenser-Microphone/dp/B0006H92QK/ref=sr_1_7/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-7&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Panasonic RF-2400D AM / FM Radio, Silver",32,https://www.amazon.com/dp/B00007KDX6,Camera & Photo: Electronics,2018-12-08
"Polk Audio RC80i 2-way Premium In-Ceiling 8"" Round Speakers, Set of 2 Perfect for Damp and Humid Indoor/Outdoor Placement - Bath, Kitchen, Covered Porches (White, Paintable Grille)",129,https://www.amazon.com/Polk-Audio-RC80i-Ceiling-Speakers/dp/B00006BMQT/ref=sr_1_9/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-9&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Polk Audio PSW505 12-Inch Powered Subwoofer (Single, Black)",229,https://www.amazon.com/Polk-Audio-12-Inch-Powered-Subwoofer/dp/B000092TT0/ref=sr_1_10/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-10&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Texas Instruments BA II Plus Financial Calculator,29,https://www.amazon.com/dp/B00000JZKB,Camera & Photo: Electronics,2018-12-08
Sharp EL-1801V Portable 12-Digit 2-Color Compact Printing Calculator,42,https://www.amazon.com/Sharp-EL-1801V-Portable-12-Digit-Calculator/dp/B000085BB3/ref=sr_1_12/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-12&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Tivoli Audio Model One M1CLA AM / FM Table Radio, Classic / Walnut",149,https://www.amazon.com/Tivoli-Audio-M1CLA-Classic-Walnut/dp/B00006I5WK/ref=sr_1_14/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-14&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Shure SM58S Vocal Microphone (with On Off Switch),94,https://www.amazon.com/Shure-SM58S-Vocal-Microphone-Switch/dp/B0000AQRSU/ref=sr_1_15/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-15&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
MXL 770 Cardioid Condenser Microphone,73,https://www.amazon.com/MXL-770-Cardioid-Condenser-Microphone/dp/B0007NQH98/ref=sr_1_19/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-19&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Kensington Wireless Presenter with Red Laser Pointer (K33374USB),26,https://www.amazon.com/Kensington-Wireless-Presenter-Pointer-K33374USB/dp/B000FPGP4U/ref=sr_1_20/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-20&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"AT&T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, Black",15,https://www.amazon.com/AT-Trimline-Corded-Required-Wall-Mountable/dp/B00005MITU/ref=sr_1_21/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-21&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Sunbeam Programmable Bread Maker, 2 Pound, White (005891-000-000)",47,https://www.amazon.com/Sunbeam-Programmable-Bread-Maker-005891-000-000/dp/B00067REBU/ref=sr_1_22/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-22&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Avery Premium Personalized Name Tags, Print or Write, 2-1/3"" x 3-3/8"", 160 Adhesive Tags (8395)",12,https://www.amazon.com/Avery-Premium-Personalized-Print-Adhesive/dp/B00007LVCN/ref=sr_1_24/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-24&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
"Polk Audio RC85i 2-way Premium In-Wall 8"" Speakers, Pair of 2 Perfect for Damp and Humid Indoor/Outdoor Placement - Bath, Kitchen, Covered Porches (White, Paintable Grille)",173,https://www.amazon.com/Polk-Audio-RC85i-2-Way-Speakers/dp/B00006I5O6/ref=sr_1_25/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-25&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Texas Instruments TI-83 Plus Graphing Calculator,92,https://www.amazon.com/Texas-Instruments-TI-83-Graphing-Calculator/dp/B00001N2QU/ref=sr_1_26/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-26&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Nikon AF FX NIKKOR 50mm f/1.8D Lens for Nikon DSLR Cameras,131,https://www.amazon.com/Nikon-NIKKOR-50mm-1-8D-Cameras/dp/B00005LEN4/ref=sr_1_27/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-27&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
Shure SM57-LC Cardioid Dynamic Microphone,99,https://www.amazon.com/Shure-SM57-LC-Cardioid-Dynamic-Microphone/dp/B0000AQRST/ref=sr_1_28/142-4702312-5092331?s=electronics&ie=UTF8&qid=1544408520&sr=1-28&refinements=p_72%3A1248881011%2Cp_36%3A3000-99999999,Camera & Photo: Electronics,2018-12-08
